Ref_Date,GEO,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2014,Nova Scotia,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848581,4.5.3,23.3
2012,Nova Scotia,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848582,4.5.4,0.9
2013,Nova Scotia,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848582,4.5.4,4.5
2014,Nova Scotia,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848582,4.5.4,7.2
2012,New Brunswick,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848583,5.1.1,1067.5
2013,New Brunswick,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848583,5.1.1,1088.6
2014,New Brunswick,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848583,5.1.1,1112.4
2012,New Brunswick,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848584,5.1.2,1002.5
2013,New Brunswick,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848584,5.1.2,1033.6
2014,New Brunswick,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848584,5.1.2,1052.1
2012,New Brunswick,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848585,5.1.3,342.5
2013,New Brunswick,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848585,5.1.3,349.8
2014,New Brunswick,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848585,5.1.3,355.9
2012,New Brunswick,Food services and drinking places,Operating profit margin (percent),v99848586,5.1.4,6.1
2013,New Brunswick,Food services and drinking places,Operating profit margin (percent),v99848586,5.1.4,5.1
2014,New Brunswick,Food services and drinking places,Operating profit margin (percent),v99848586,5.1.4,5.4
2012,New Brunswick,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848587,5.2.1,307.0
2013,New Brunswick,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848587,5.2.1,326.7
2014,New Brunswick,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848587,5.2.1,346.4
2012,New Brunswick,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848588,5.2.2,295.6
2013,New Brunswick,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848588,5.2.2,314.6
2014,New Brunswick,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848588,5.2.2,331.3
